(0,0,74)(0,1,-69)(0,2,65)(0,3,1)(0,4,19)(0,5,-46)(0,6,-50)(0,7,-23)(0,8,-89)(0,9,-85)(0,10,-76)(0,11,25)(0,12,-70)(0,13,-73)(0,14,1)
(1,0,-43)(1,1,7)(1,2,-53)(1,3,-40)(1,4,-93)(1,5,-12)(1,6,-9)(1,7,-7)(1,8,-38)(1,9,-21)(1,10,14)(1,11,36)(1,12,55)(1,13,12)(1,14,-96)
(2,0,50)(2,1,-65)(2,2,-65)(2,3,-35)(2,4,-13)(2,5,55)(2,6,-31)(2,7,37)(2,8,82)(2,9,-20)(2,10,2)(2,11,-95)(2,12,56)(2,13,33)(2,14,83)
(3,0,-44)(3,1,90)(3,2,-61)(3,3,-47)(3,4,100)(3,5,97)(3,6,41)(3,7,-10)(3,8,-61)(3,9,53)(3,10,70)(3,11,3)(3,12,-12)(3,13,-26)(3,14,66)
(4,0,-8)(4,1,-76)(4,2,-100)(4,3,28)(4,4,-11)(4,5,-63)(4,6,-68)(4,7,8)(4,8,24)(4,9,-87)(4,10,89)(4,11,-74)(4,12,69)(4,13,44)(4,14,59)
(5,0,1)(5,1,50)(5,2,-2)(5,3,-10)(5,4,-97)(5,5,-53)(5,6,-13)(5,7,-6)(5,8,38)(5,9,-24)(5,10,-53)(5,11,-43)(5,12,80)(5,13,35)(5,14,-19)
(6,0,45)(6,1,-73)(6,2,5)(6,3,-5)(6,4,5)(6,5,44)(6,6,-17)(6,7,37)(6,8,-48)(6,9,-94)(6,10,0)(6,11,91)(6,12,-68)(6,13,-82)(6,14,-16)
(7,0,41)(7,1,19)(7,2,-67)(7,3,-62)(7,4,-92)(7,5,87)(7,6,-64)(7,7,-55)(7,8,-19)(7,9,74)(7,10,-28)(7,11,28)(7,12,81)(7,13,-99)(7,14,-88)
(8,0,-39)(8,1,-4)(8,2,90)(8,3,17)(8,4,41)(8,5,-6)(8,6,-90)(8,7,-77)(8,8,81)(8,9,-88)(8,10,-70)(8,11,-20)(8,12,-98)(8,13,-38)(8,14,-52)
(9,0,-64)(9,1,54)(9,2,67)(9,3,-30)(9,4,42)(9,5,26)(9,6,-94)(9,7,78)(9,8,21)(9,9,-13)(9,10,51)(9,11,93)(9,12,65)(9,13,-19)(9,14,44)
---

(4,2,-100)
(7,13,-99)
(8,12,-98)
(5,4,-97)
(1,14,-96)
(2,11,-95)
(6,9,-94)
(9,6,-94)
(1,4,-93)
(7,4,-92)
(8,6,-90)
(0,8,-89)
(7,14,-88)
(8,9,-88)
(4,9,-87)
(0,9,-85)
(6,13,-82)
(8,7,-77)
(0,10,-76)
(4,1,-76)(4,11,-74)
(0,13,-73)
(6,1,-73)
(0,12,-70)
(8,10,-70)
(0,1,-69)
(4,6,-68)
(6,12,-68)
(7,2,-67)
(2,1,-65)(2,2,-65)
(7,6,-64)
(9,0,-64)
(4,5,-63)
(7,3,-62)
(3,2,-61)(3,8,-61)
(7,7,-55)
(1,2,-53)
(5,5,-53)(5,10,-53)
(8,14,-52)
(0,6,-50)
(6,8,-48)
(3,3,-47)
(0,5,-46)
(3,0,-44)
(1,0,-43)
(5,11,-43)
(1,3,-40)
(8,0,-39)
(1,8,-38)
(8,13,-38)
(2,3,-35)(2,6,-31)
(9,3,-30)
(7,10,-28)
(3,13,-26)
(5,9,-24)
(0,7,-23)
(1,9,-21)
(2,9,-20)
(8,11,-20)
(5,14,-19)
(7,8,-19)
(9,13,-19)
(6,6,-17)(6,14,-16)
(2,4,-13)
(5,6,-13)
(9,9,-13)
(1,5,-12)
(3,12,-12)
(4,4,-11)
(3,7,-10)
(5,3,-10)
(1,6,-9)
(4,0,-8)
(1,7,-7)
(5,7,-6)
(8,5,-6)
(6,3,-5)
(8,1,-4)
(5,2,-2)
(6,10,0)
(0,3,1)(0,14,1)
(5,0,1)
(2,10,2)
(3,11,3)
(6,2,5)(6,4,5)
(1,1,7)
(4,7,8)
(1,13,12)(1,10,14)
(8,3,17)
(0,4,19)
(7,1,19)
(9,8,21)
(4,8,24)
(0,11,25)
(9,5,26)
(4,3,28)
(7,11,28)
(2,13,33)
(5,13,35)
(1,11,36)
(2,7,37)
(6,7,37)
(5,8,38)
(3,6,41)
(7,0,41)
(8,4,41)
(9,4,42)
(4,13,44)
(6,5,44)
(9,14,44)
(6,0,45)
(2,0,50)
(5,1,50)
(9,10,51)
(3,9,53)
(9,1,54)
(1,12,55)
(2,5,55)(2,12,56)
(4,14,59)
(0,2,65)
(9,12,65)
(3,14,66)
(9,2,67)
(4,12,69)
(3,10,70)
(0,0,74)
(7,9,74)
(9,7,78)
(5,12,80)
(7,12,81)
(8,8,81)
(2,8,82)(2,14,83)
(7,5,87)
(4,10,89)
(3,1,90)
(8,2,90)
(6,11,91)
(9,11,93)
(3,5,97)(3,4,100)
